code,description,qty_out
KIT004,Kitchen Mixer Wall,1.0
LEA003,Leaf Rake Plastic Big,4.0
LED001,Flourescent Led Fittings 2ft,1.0
LED002,Flourescent Led Fittings 4ft,1.0
LED004,Flourescent Led Tubes 2ft,2.0
LED005,Flourescent Led Tubes 4ft,1.0
LED006,Led Panel Light 6w,1.0
LED010,LED Butten light 20w,2.0
LED014,LED Panel 24W,2.0
LIM001,Lime 25kg,44.0
LIP004,Lipping Mtrs,36.0
LOC002,Lock Flyglobe Gold,0.0
LOC003,Lock Flyglobe Silver,3.0
LOC006,Lock Union 2lever Silver,2.0
LOC010,Lock Union Dead 3lever,2.0
LOC011,Lock Wista W-20188,0.0
LOC012,Lock Union 2lever brass/gold,3.0
LOC013,Lock Wista W-23615,2.0
LOC014,Lock Wista W-23613,1.0
