code,description,qty_out
FLO010,Flourescent Tube 2ft,3.0
FLO011,Flourescent Tube 4ft,5.0
FLU001,Flusher Plug pkts,27.0
FOO001,Foot Kamba 30mts,6.0
FOO002,Foot Kamba 50mts,4.0
FOO003,Foot Valve 1 peggler,1.0
FOO004,Foot Valve 1/2,0.0
FOO006,Foot Valve 11/4,0.0
FOO007,Foot Valve 3/4 pegler,2.0
FOO008,Foot Valve 3/4,3.0
FOO009,Foot Valve 1,4.0
FOR001,Force Pump small,2.0
FOR002,Fork Jembe 1.5LB,3.0
FOR003,Fork Jembe 2.5LB,21.0
FOR004,Fork Jembe 3.5LB,20.0
FOR005,Fork Jembe Combined,3.0
FOR006,Force Pump Big,2.0
FRI001,Fridge Guard,1.0
GAL003,Galvanised Wire Kgs,16.0
GAL006,Galvanized Wire 2mm,1.0
GAL007,Galvanized Wire 2.5mm,1.0
GAT002,Gate Valve 1,5.0
GAT003,Gate Valve 1/2,11.0
GAT004,Gate Valve 11/2,4.0
GAT005,Gate Valve 11/4,6.0
GAT006,Gate Valve 2 pegler,0.0
GAT007,Gate Valve 3/4,65.0
GAT008,Gate Valve 1 pegler,27.0
GI 001,Gi Back Nut 1,8.0
GI 002,Gi Back Nut 1/2,6.0
GI 004,Gi Back Nut 11/4,0.0
GI 006,Gi Back Nut 3/4,28.0
GI 007,Gi Barrel Nipple 1,5.0
GI 008,Gi Barrel Nipple 1/2,8.0
GI 009,Gi Barrel Nipple 11/2,2.0
GI 010,Gi Barrel Nipple 11/4,2.0
GI 012,Gi Barrel Nipple 3/4,34.0
GI 015,Gi Bend 11/2,2.0
GI 019,Gi Cup Female 1,1.0
GI 020,Gi Cup Female 1/2,104.0
GI 023,Gi Cup Female 3/4,23.0
GI 024,Gi Elbow 1,2.0
GI 025,Gi Elbow 1/2,14.0
GI 026,Gi Elbow 11/2,1.0
GI 027,Gi Elbow 11/4,0.0
GI 029,Gi Elbow 3/4,3.0
GI 030,Gi Hex Nipple 1,2.0
GI 031,Gi Hex Nipple 1/2,126.0
GI 032,Gi Hex Nipple 11/2,3.0
GI 033,Gi Hex Nipple 11/4,0.0
GI 034,Gi Hex Nipple 2,0.0
GI 035,Gi Hex Nipple 3/4,20.0
GI 036,Gi Long Thread Nipple 1,10.0
GI 037,Gi Long Thread Nipple 1/2,2.0
GI 041,Gi Long Thread Nipple 3/4,14.0
GI 042,Gi Plug Male 1,14.0
GI 043,Gi Plug Male 1/2,32.0
GI 044,Gi Plug Male 11/4,0.0
GI 045,Gi Plug Male 3/4,21.0
GI 050,Gi Red Bush 1x1/2,4.0
GI 056,Gi Red Bush 3/4x1/2,10.0
GI 062,Gi Red Socket 1x3/4,1.0
GI 065,Gi Red Socket 3/4x1/2,1.0
GI 067,Gi Red Tee 3/4x1/2,1.0
GI 068,Gi Socket 1,12.0
GI 069,Gi Socket 1/2,64.0
GI 070,Gi Socket 11/2,1.0
GI 073,Gi Socket 3/4,20.0
GI 074,Gi Stand Pipe 1/2x1.5ft,5.0
GI 075,Gi Stand Pipe 1/2x1ft,2.0
