code,description,avg_monthly_q1,april_qty,old_moq,new_moq
PPR037,Ppr F/Elbow 40x11/4,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PPR038,Ppr F/Elbow 50x11/2,0.0,0.0,0.0,0.0
PPR039,Ppr F/Tee 20x1/2,1.6666666666666667,1.0,0.4166666666666667,0.4166666666666667
PPR040,Ppr F/Tee 25x1/2,8.666666666666666,25.0,2.1666666666666665,6.25
PPR041,Ppr F/Tee 25x3/4,1.0,2.0,0.25,0.5
PPR042,Ppr F/Tee 32x1,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PPR043,Ppr F/Tee 32x3/4,0.3333333333333333,3.0,0.08333333333333333,0.75
PPR044,Ppr F/Tee 40x11/4,0.0,0.0,0.0,0.0
PPR045,Ppr F/ Thread Union 1,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
PPR048,Ppr Gate Valve 25mm,0.0,1.0,0.0,0.25
PPR050,Ppr M/Adapter 20x1/2,9.333333333333334,5.0,2.3333333333333335,2.3333333333333335
PPR051,Ppr M/Adapter 25x1/2,97.0,232.0,24.25,58.0
PPR052,Ppr M/Adapter 25x3/4,110.33333333333333,102.0,27.583333333333336,27.583333333333336
PPR053,Ppr M/Adapter 32x1,59.333333333333336,39.0,14.833333333333334,14.833333333333334
PPR054,Ppr M/Adapter 32x1/2,1.0,0.0,0.25,0.25
PPR055,Ppr M/Adapter 32x3/4,2.3333333333333335,5.0,0.5833333333333334,1.25
PPR056,Ppr M/Adapter 40x11/4,16.0,6.0,4.0,4.0
PPR057,Ppr M/Adapter 50x11/2,3.0,2.0,0.75,0.75
PPR058,Ppr M/Adapter 63x2,1.0,0.0,0.25,0.25
PPR059,Ppr M/Elbow 20x1/2,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR060,Ppr M/Elbow 25x1/2,5.666666666666667,2.0,1.4166666666666667,1.4166666666666667
PPR061,Ppr M/Elbow 25x3/4,11.333333333333334,1.0,2.8333333333333335,2.8333333333333335
PPR062,Ppr M/Elbow 32x1,0.0,4.0,0.0,1.0
PPR063,Ppr M/Elbow 32x3/4,0.0,0.0,0.0,0.0
PPR064,Ppr M/Elbow 40x11/4,0.0,0.0,0.0,0.0
PPR065,Ppr M/Elbow 50x11/2,0.0,0.0,0.0,0.0
PPR066,Ppr M/Tee 20x1/2,0.0,0.0,0.0,0.0
PPR067,Ppr M/Tee 25x1/2,0.0,13.0,0.0,3.25
PPR068,Ppr M/Tee 25x3/4,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PPR069,Ppr M/Tee 32x1,0.0,0.0,0.0,0.0
PPR070,Ppr M/Tee 32x3/4,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR071,Ppr M/Tee 40x11/4,0.0,0.0,0.0,0.0
PPR072,Ppr M/Thread Union 1,5.666666666666667,1.0,1.4166666666666667,1.4166666666666667
PPR074,Ppr M/Thread Union 3/4,9.0,0.0,2.25,2.25
PPR075,Ppr Machine H/G,0.3333333333333333,2.0,0.08333333333333333,0.5
PPR076,Ppr Overbend 25mm,21.333333333333332,20.0,5.333333333333333,5.333333333333333
PPR084,Ppr Pipe Danco 20mm,12.333333333333334,1.0,3.083333333333334,3.083333333333334
PPR085,Ppr Pipe Danco 25mm,271.0,281.0,67.75,70.25
PPR086,Ppr Pipe Danco 32mm,93.33333333333333,74.0,23.333333333333332,23.333333333333332
PPR087,Ppr Pipe Danco 40mm,10.666666666666666,22.0,2.6666666666666665,5.5
PPR088,Ppr Pipe Danco 50mm,7.333333333333333,1.0,1.833333333333333,1.833333333333333
PPR089,Ppr Pipe Metro 20mm,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR093,Ppr Pipe Metro 40mm,1.0,0.0,0.25,0.25
PPR094,Ppr Pipe Metro 50mm,0.0,0.0,0.0,0.0
PPR095,Ppr Pipe Metro 63mm,0.0,0.0,0.0,0.0
PPR096,Ppr Pipe Roll 20mm-DANCO,0.0,0.0,0.0,0.0
PPR098,Ppr Pipe Roll 32mm,0.0,0.0,0.0,0.0
PPR100,Ppr Pipe Roll Danco 25mm,2.0,4.0,0.5,1.0
PPR101,Ppr Pipe Roll Danco 32mm,1.6666666666666667,1.0,0.4166666666666667,0.4166666666666667
PPR102,Ppr Pipe Roll Danco 40mm,0.0,0.0,0.0,0.0
PPR103,Ppr Pipe Roll Danco 50mm,0.0,0.0,0.0,0.0
PPR104,Ppr Pipe Roll Danco 63mm,0.0,0.0,0.0,0.0
PPR105,Ppr Plug 20mm,5.666666666666667,0.0,1.4166666666666667,1.4166666666666667
PPR106,Ppr Plug 25mm,11.0,0.0,2.75,2.75
PPR107,Ppr Red/Socket 25x20,3.6666666666666665,0.0,0.9166666666666665,0.9166666666666665
PPR108,Ppr Red/Socket 32x20,0.0,0.0,0.0,0.0
PPR109,Ppr Red/Socket 32x25,62.333333333333336,10.0,15.583333333333334,15.583333333333334
PPR110,Ppr Red/Socket 40x25,7.0,11.0,1.75,2.75
PPR111,Ppr Red/Socket 40x32,6.333333333333333,6.0,1.5833333333333335,1.5833333333333335
PPR112,Ppr Red/Socket 50x20,0.0,0.0,0.0,0.0
PPR115,Ppr Red/Socket 50x40,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR116,Ppr Red/Socket 63x25,2.0,0.0,0.5,0.5
PPR117,Ppr Red/Socket 63x32,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR118,Ppr Red/Socket 63x40,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR120,Ppr Red/Tee 20x25,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR121,Ppr Red/Tee 32x20,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR122,Ppr Red/Tee 32x25,10.666666666666666,0.0,2.6666666666666665,2.6666666666666665
PPR124,Ppr Red/Tee 40x32,0.0,2.0,0.0,0.5
PPR125,Ppr Socket 20mm,6.333333333333333,18.0,1.5833333333333335,4.5
PPR126,Ppr Socket 25mm,442.0,363.0,110.5,110.5
PPR127,Ppr Socket 32mm,186.66666666666666,68.0,46.666666666666664,46.666666666666664
PPR128,Ppr Socket 40mm,17.0,19.0,4.25,4.75
PPR130,Ppr Socket 63mm,6.666666666666667,0.0,1.6666666666666667,1.6666666666666667
PPR133,Ppr Stone 32mm,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR135,Ppr socket 50mm,9.666666666666666,0.0,2.4166666666666665,2.4166666666666665
PPR137,Ppr Tee 20mm,6.0,0.0,1.5,1.5
PPR138,Ppr Tee 25mm,163.0,208.0,40.75,52.0
PPR139,Ppr Tee 32mm,90.33333333333333,26.0,22.583333333333332,22.583333333333332
PPR140,Ppr Tee 40mm,14.0,2.0,3.5,3.5
PPR141,Ppr Tee 50mm,0.3333333333333333,5.0,0.08333333333333333,1.25
PPR142,Ppr Tee 63mm,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
PPR145,Ppr Thread Union 32mm,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
PPR147,Ppr Union 20mm,1.0,0.0,0.25,0.25
PPR148,Ppr Union 25mm,21.333333333333332,20.0,5.333333333333333,5.333333333333333
PPR149,Ppr Union 32mm,21.0,12.0,5.25,5.25
PPR150,Ppr Union 40mm,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
PPR151,Ppr Union 50mm,3.3333333333333335,1.0,0.8333333333333334,0.8333333333333334
PPR152,Ppr Union 63mm,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR153,Ppr clip 20mm,0.0,0.0,0.0,0.0
PPR155,Ppr Pipe Danco 63mm,5.0,0.0,1.25,1.25
PPR156,Ppr M/Elbow 63x2,0.0,0.0,0.0,0.0
PPR158,Ppr F/Thread Union 3/4,0.3333333333333333,2.0,0.08333333333333333,0.5
PPR159,Ppr Red/Tee 50x25,0.0,3.0,0.0,0.75
PPR160,Ppr Pipe Roll 25mm-Metro(PN16),8.666666666666666,0.0,2.1666666666666665,2.1666666666666665
PTG003,Ptg Connector,2.3333333333333335,0.0,0.5833333333333334,0.5833333333333334
PTG008,Ptg Elbow 65',0.0,0.0,0.0,0.0
PTG010,Ptg Endcup,0.0,0.0,0.0,0.0
PTG011,Ptg Gutter,0.0,0.0,0.0,0.0
PTG013,Ptg Inside Corner,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PTG015,Ptg Outside Corner,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PUM001,Pump Control Auto,4.333333333333333,5.0,1.0833333333333333,1.25
PUS001,Push Tap,0.6666666666666666,4.0,0.16666666666666666,1.0
PUT003,Putty Premium in Kgs,54.5,19.0,13.625,13.625
